,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
496,,,,,,1.0,3.0,1.0,0.0,,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,,1.0,1.0,0.0,,,,
497,,,,,,2.0,3.0,1.0,0.0,,3.0,2.0,3.0,0.0,2.0,4.0,2.0,1.0,4.0,0.0,,,3.0,,0.0,2.0,0.0,,,,
498,,,,,,2.0,4.0,2.0,4.0,,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,0.0,1.0,1.0,,,,
499,,,,,,3.0,4.0,1.0,1.0,,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,,,1.0,,0.0,0.0,0.0,,,,
500,,,,,,2.0,3.0,0.0,1.0,,3.0,3.0,3.0,2.0,1.0,3.0,6.0,0.0,2.0,2.0,,,2.0,,1.0,0.0,0.0,,,,
501,,,,,,3.0,1.0,3.0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,,,3.0,,1.0,4.0,2.0,,,,
502,,,,,,5.0,2.0,2.0,1.0,,0.0,3.0,5.0,1.0,6.0,3.0,4.0,2.0,0.0,2.0,,,1.0,,1.0,0.0,1.0,,,,
503,,,,,,4.0,5.0,4.0,3.0,,2.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,5.0,0.0,,,0.0,,2.0,1.0,0.0,,,,
504,,,,,,1.0,2.0,3.0,2.0,,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,,4.0,,2.0,0.0,1.0,,,,
505,,,0.0,,,3.0,3.0,,0.0,,4.0,0.0,0.0,,,,2.0,1.0,0.0,4.0,,,,,2.0,,,,,,
506,,,0.0,,,5.0,2.0,1.0,,,2.0,2.0,,,1.0,3.0,3.0,0.0,0.0,,,,3.0,,1.0,1.0,,2.0,,,
507,,,4.0,,,3.0,2.0,0.0,1.0,,,1.0,4.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,,,0.0,,,
508,,,0.0,,,1.0,3.0,0.0,2.0,,3.0,4.0,6.0,,3.0,,,2.0,1.0,,,,2.0,,0.0,1.0,,,,,
509,,,0.0,,,0.0,,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,3.0,,,,,0.0,1.0,,4.0,,,
510,,,2.0,,,2.0,2.0,1.0,,,4.0,0.0,2.0,,4.0,,3.0,,,2.0,,,1.0,,,0.0,,0.0,,,
511,,,0.0,,,,,0.0,1.0,,3.0,3.0,3.0,,1.0,,,1.0,5.0,4.0,,,,,1.0,0.0,,0.0,,,
512,,,,,,1.0,6.0,3.0,1.0,,,3.0,,,4.0,3.0,2.0,,0.0,,,,0.0,,2.0,4.0,,0.0,,,
513,,,0.0,,,,,,,,2.0,0.0,1.0,,,1.0,,3.0,2.0,0.0,,,0.0,,2.0,1.0,,4.0,,,
514,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
515,,,1.0,,,2.0,1.0,4.0,1.0,,2.0,2.0,1.0,,2.0,3.0,3.0,,2.0,2.0,,,,,,,,2.0,,,
516,,,3.0,,,0.0,0.0,1.0,0.0,,1.0,,2.0,,1.0,,,2.0,5.0,1.0,,,6.0,,3.0,2.0,,0.0,,,
517,,,,,,1.0,0.0,,3.0,,,2.0,2.0,,,1.0,2.0,2.0,0.0,2.0,,,1.0,,0.0,,,,,,
